日期,查询词,搜索uv,搜索pv,曝光uv,曝光pv,点击uv,点击pv,曝光点击率,买家数,订单数,成交额,预测行业
2020-04-08,鹿晗,12,21,13,183,1,3,1.64%,0,0,,生活服务
2020-04-08,蔡徐坤官方应援灯,12,23,12,122,3,3,2.46%,0,0,,文化玩乐
2020-04-08,叶航成吴石九,12,23,12,87,0,0,,,,,文化玩乐
2020-04-08,美瞳,12,19,0,0,0,0,,,,,美妆饰品
2020-04-08,ikun,12,30,12,87,1,1,1.15%,0,0,,手机数码
2020-04-08,seventeen,12,14,12,81,0,0,,,,,文化玩乐
2020-04-08,鞋,11,19,10,171,1,1,0.58%,0,0,,服装鞋包
2020-04-08,测评小铺,11,22,11,103,1,1,0.97%,0,0,,手机数码
2020-04-08,Tmagazine,11,14,11,22,0,0,,,,,生活服务
2020-04-08,内衣,11,19,11,118,4,7,5.93%,0,0,,服装鞋包
2020-04-08,蔡徐坤出道两周年应援,11,24,11,82,0,0,,,,,文化玩乐
2020-04-08,yxecg,11,12,8,47,1,1,2.13%,0,0,,其他
2020-04-08,芝麻妈妈的小店,11,18,11,81,0,0,,,,,美妆饰品
2020-04-08,蔡徐坤妈妈团,11,22,10,70,2,2,2.86%,0,0,,生活服务
2020-04-08,ikun专属音乐应援金,11,19,12,64,0,0,,,,,文化玩乐
2020-04-08,生死狙击手游官方商城,11,18,9,54,1,1,1.85%,0,0,,游戏话费
2020-04-08,李宏毅能量站,10,13,9,69,0,0,,,,,生活服务
2020-04-08,圣经,10,17,0,0,0,0,,,,,家居建材
2020-04-08,一个萝卜一个坑,10,10,8,34,0,0,,,,,文化玩乐
2020-04-08,女爱,10,12,8,44,0,0,,,,,百货食品
2020-04-08,耐克,10,11,8,82,0,0,,,,,运动户外
2020-04-08,jk制服裙,10,12,11,82,0,0,,,,,服装鞋包
2020-04-08,短袖,10,18,8,199,2,5,2.51%,0,0,,服装鞋包
2020-04-08,吴石九杂志,10,18,12,113,1,1,0.88%,0,0,,文化玩乐
2020-04-08,仓鼠用品,10,15,0,0,0,0,,,,,文化玩乐
2020-04-08,王一博杂志,10,21,13,80,2,3,3.75%,0,0,,生活服务
2020-04-08,限时小分店,10,16,8,73,1,1,1.37%,0,0,,服装鞋包
2020-04-08,喵小柒da小铺,10,17,7,62,0,0,,,,,服装鞋包
2020-04-08,华电小马哥,10,13,10,70,0,0,,,,,文化玩乐
2020-04-08,篮球鞋,10,43,7,209,3,27,12.92%,0,0,,运动户外
2020-04-08,康泰纳仕旗舰店,10,14,9,64,1,1,1.56%,0,0,,百货食品
2020-04-08,蔡徐坤周边,9,19,12,108,4,8,7.41%,0,0,,文化玩乐
2020-04-08,椰子,9,18,9,88,2,3,3.41%,0,0,,百货食品
